Design Study 1
Scenarios/Iterations:, 200
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
CS OD,,N/A,0.023350,0.023350,0.023350,0.023350,0.023750,0.023350,0.023350,0.018250,0.018250,0.021250,0.020000,0.020000,0.020000,0.023350,0.023350,0.019500,0.023350,0.017350,0.017350,0.025000,0.023350,0.023350,0.023350,0.021350,0.021350,0.023350,0.018500,0.028350,0.018500,0.018500,0.018500,0.020900,0.026425,0.018500,0.027500,0.027500,0.021350,0.021350,0.022000,0.028500,0.024500,0.023350,0.016000,0.016000,0.023350,0.027350,0.023350,0.023350,0.027350,0.023350,0.023350,0.016000,0.016000,0.016000,0.023350,0.045000,0.023350,0.023350,0.023350,0.021000,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.020000,0.020000,0.021500,0.020000,0.020000,0.023350,0.023350,0.021350,0.023350,0.020000,0.020000,0.026500,0.017500,0.017500,0.017500,0.020000,0.020400,0.021350,0.023350,0.028500,0.023350,0.021850,0.023350,0.023350,0.023350,0.020500,0.023350,0.023350,0.023350,0.023350,0.024850,0.023350,0.023350,0.016700,0.022000,0.023350,0.016700,0.024850,0.024850,0.023350,0.016700,0.023350,0.023350,0.021350,0.021350,0.023350,0.023350,0.032850,0.023350,0.016700,0.025500,0.023350,0.021500,0.023350,0.023350,0.016700,0.023350,0.021350,0.023350,0.022000,0.016700,0.021350,0.018000,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.022000,0.022000,0.021350,0.021350,0.021350,0.023350,0.021350,0.023350,0.023350,0.020000,0.020000,0.021600,0.020000,0.023350,0.019600,0.023350,0.023350,0.023350,0.023350,0.023350,0.018000,0.018000,0.022000,0.021350,0.023350,0.018000,0.023350,0.021600,0.021600,0.021600,0.021600,0.021350,0.016575,0.021350,0.021350,0.021350,0.022000,0.022000,0.022000,0.022000,0.023350,0.023350,0.021350,0.022000,0.022000,0.023350,0.026350,0.021250,0.022000,0.018000,0.018000,0.021350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.023350,0.025000
SS OD,,N/A,0.013000,0.015000,0.013000,0.013000,0.012500,0.013000,0.013000,0.012500,0.012500,0.014500,0.016000,0.016000,0.016000,0.013000,0.013000,0.015000,0.013500,0.010500,0.010500,0.016000,0.013000,0.013000,0.013000,0.015000,0.015000,0.013000,0.013000,0.018000,0.013000,0.013000,0.013000,0.013550,0.019000,0.013000,0.019000,0.019000,0.015000,0.015000,0.017000,0.013000,0.014000,0.013000,0.010500,0.010500,0.013000,0.021500,0.013000,0.013000,0.015000,0.013000,0.013000,0.010500,0.010500,0.010500,0.013000,0.019000,0.013000,0.013000,0.013000,0.012500,0.011500,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013300,0.013300,0.013000,0.013300,0.013300,0.013000,0.013000,0.015000,0.011500,0.013300,0.013300,0.013000,0.015437,0.015437,0.015437,0.011500,0.012750,0.015000,0.013000,0.013000,0.013000,0.014500,0.013000,0.013000,0.013000,0.012750,0.013000,0.013000,0.013000,0.013000,0.015000,0.013000,0.013000,0.008300,0.013500,0.013000,0.008300,0.017000,0.015000,0.013000,0.008300,0.013000,0.013000,0.019000,0.015000,0.013000,0.013000,0.025000,0.013000,0.008300,0.013000,0.013000,0.013000,0.013000,0.013000,0.008300,0.013000,0.015000,0.013000,0.013500,0.008300,0.015000,0.015000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013500,0.013500,0.015000,0.015000,0.015000,0.013000,0.015000,0.013000,0.013000,0.013300,0.013300,0.012750,0.013300,0.013000,0.013500,0.013000,0.013000,0.013000,0.013000,0.013000,0.011000,0.011000,0.013500,0.015000,0.013000,0.011000,0.013000,0.011800,0.011800,0.011800,0.011800,0.015000,0.015000,0.015000,0.015000,0.016000,0.013500,0.013500,0.013500,0.013500,0.013000,0.013000,0.015000,0.013500,0.013500,0.013000,0.014750,0.013750,0.017500,0.015000,0.013000,0.015000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.013000,0.016500
ST OD,,N/A,0.031800,0.030000,0.035000,0.031800,0.033500,0.031800,0.031800,0.028600,0.028600,0.028600,0.030000,0.030000,0.030000,0.031800,0.031800,0.027200,0.028000,0.028600,0.028600,0.034900,0.031800,0.031800,0.031800,0.032700,0.032700,0.031800,0.028600,0.041800,0.028600,0.028600,0.028600,0.028600,0.034950,0.028600,0.031800,0.031800,0.032700,0.032700,0.028600,0.031800,0.031800,0.031800,0.028600,0.028600,0.031600,0.035000,0.031800,0.031800,0.029000,0.031800,0.031800,0.028600,0.028600,0.028600,0.030000,0.050000,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.028950,0.028950,0.029000,0.028950,0.028950,0.031800,0.031800,0.032700,0.028600,0.028950,0.028950,0.031800,0.028600,0.028600,0.028600,0.031800,0.031800,0.030000,0.028600,0.031800,0.031700,0.034900,0.031800,0.031800,0.031800,0.030000,0.031800,0.031800,0.031800,0.031800,0.032700,0.031800,0.031800,0.028800,0.030000,0.031800,0.028800,0.032700,0.032700,0.034900,0.028800,0.035000,0.035000,0.032400,0.033700,0.031800,0.035000,0.035000,0.032000,0.028800,0.031800,0.027200,0.029000,0.027200,0.027200,0.028800,0.031800,0.032700,0.031800,0.031800,0.028800,0.032700,0.029000,0.031800,0.034900,0.031800,0.031800,0.028600,0.028600,0.028600,0.028600,0.028600,0.028600,0.030000,0.030000,0.032700,0.032700,0.032700,0.031800,0.032700,0.028600,0.028600,0.028950,0.028950,0.033000,0.028950,0.031800,0.028600,0.031800,0.031800,0.031800,0.028600,0.031800,0.028600,0.028600,0.031800,0.132010,0.031800,0.028600,0.031800,0.028600,0.028600,0.028600,0.028600,0.031900,0.031800,0.032700,0.032700,0.032700,0.031800,0.031800,0.031800,0.031800,0.031800,0.031800,0.032700,0.031800,0.031800,0.028600,0.028600,0.031900,0.031800,0.029000,0.029000,0.032700,0.031800,0.031800,0.031800,0.031800,0.028600,0.027000,0.031800,0.031800
CS F,,m,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.014,0.005,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.005,0.005,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.005,0.005,0.005,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.005,0.015,0.015,0.015,0.015,0.005,0.015,0.015,0.015,0.015,0.015,0.0111,0.015,0.015,0.0111,0.015,0.015,0.015,0.0111,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0111,0.015,0.015,0.015,0.015,0.015,0.0111,0.015,0.015,0.015,0.015,0.0111,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0222,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
HT LX,,N/A,0.049100,0.043600,0.055000,0.041300,0.040000,0.049300,0.041300,0.039600,0.039200,0.056200,0.050000,0.085000,0.085000,0.049300,0.049200,0.048000,0.038200,0.034500,0.034500,0.055000,0.047600,0.049000,0.048900,0.040700,0.026700,0.049200,0.038800,0.069200,0.038800,0.038800,0.038800,0.034500,0.053000,0.038600,0.044900,0.044900,0.044800,0.031000,0.051600,0.059000,0.046300,0.047900,0.026700,0.026700,0.046100,0.030000,0.040700,0.052500,0.041700,0.046900,0.060600,0.026700,0.026700,0.026700,0.049000,0.067900,0.049200,0.033900,0.033900,0.050800,0.048900,0.048100,0.046600,0.055200,0.055500,0.047500,0.048500,0.047500,0.032500,0.032500,0.048200,0.032500,0.032500,0.050900,0.048900,0.032600,0.046400,0.032500,0.032500,0.049400,0.035200,0.035200,0.035200,0.043300,0.048800,0.039300,0.035000,0.045000,0.038400,0.038800,0.043400,0.048900,0.049800,0.055000,0.049800,0.043000,0.049200,0.049000,0.035600,0.049200,0.049900,0.030000,0.038600,0.052500,0.030000,0.055000,0.035600,0.048600,0.030000,0.048000,0.048000,0.050000,0.050000,0.048700,0.048000,0.032600,0.034700,0.030000,0.048800,0.049300,0.035000,0.049300,0.049300,0.030000,0.050900,0.033100,0.046400,0.050000,0.030000,0.037200,0.038400,0.049800,0.049500,0.048800,0.048800,0.045700,0.045700,0.045800,0.045800,0.045800,0.045800,0.036200,0.036700,0.040700,0.046700,0.046500,0.048200,0.046200,0.042600,0.045600,0.032500,0.032500,0.048300,0.032500,0.049600,0.027700,0.051200,0.048100,0.050400,0.033800,0.048600,0.035700,0.035700,0.050000,0.046000,0.058300,0.035700,0.056500,0.053900,0.053900,0.050100,0.050100,0.044400,0.050000,0.037500,0.037800,0.045000,0.050000,0.050000,0.050000,0.050000,0.050300,0.045900,0.038000,0.050000,0.050000,0.039500,0.045600,0.047600,0.048400,0.038400,0.046600,0.041300,0.051300,0.045000,0.045500,0.046900,0.039500,0.028800,0.049200,0.049200
ST UX,,N/A,0.048400,0.048000,0.050000,0.090100,0.100000,0.034700,0.070000,0.031300,0.046500,0.046200,0.050000,0.070000,0.070000,0.047200,0.049200,0.035000,0.094300,0.019200,0.019200,0.035000,0.054700,0.047200,0.047200,0.048500,0.044200,0.029200,0.047600,0.047500,0.047600,0.047600,0.047600,0.015500,0.058400,0.046500,0.044300,0.044300,0.050800,0.051000,0.050500,0.045000,0.034100,0.037000,0.016000,0.016000,0.048000,0.148400,0.034000,0.100900,0.034700,0.047000,0.048100,0.016000,0.016000,0.016000,0.047000,0.052000,0.047300,0.014000,0.014000,0.051800,0.033700,0.048900,0.047800,0.047300,0.047700,0.044600,0.048200,0.045200,0.155000,0.155000,0.013500,0.155000,0.155000,0.038000,0.032000,0.062000,0.049100,0.155000,0.155000,0.020200,0.039700,0.039700,0.039700,0.047200,0.027000,0.047900,0.037000,0.080000,0.015800,0.057900,0.082100,0.047000,0.045300,0.045300,0.045300,0.082100,0.049200,0.060500,0.049800,0.049200,0.050000,0.370000,0.075100,0.050900,0.370000,0.050300,0.049800,0.037500,0.370000,0.050000,0.050000,0.055000,0.051400,0.024600,0.060000,0.026200,0.026500,0.370000,0.052500,0.064300,0.130000,0.064300,0.064300,0.370000,0.040000,0.050300,0.047000,0.055000,0.370000,0.050400,0.021800,0.045300,0.045300,0.047500,0.047500,0.028300,0.028200,0.028200,0.028200,0.028200,0.028200,0.075300,0.075300,0.050300,0.088000,0.087800,0.033200,0.088000,0.035600,0.028300,0.155000,0.155000,0.021800,0.155000,0.032300,0.018900,0.067700,0.043600,0.042000,0.020500,0.047500,0.023200,0.023200,0.055000,0.150000,0.048500,0.023200,0.041000,0.033500,0.033500,0.026300,0.026300,0.044000,0.040000,0.048600,0.073400,0.115000,0.055000,0.065000,0.065000,0.055000,0.048800,0.046600,0.100000,0.055000,0.055000,0.033800,0.044700,0.039200,0.031300,0.021800,0.025000,0.100000,0.047700,0.047300,0.047700,0.048900,0.033800,0.012500,0.054000,0.055000
HT UX,,N/A,0.035100,0.027400,0.020000,0.018900,0.025000,0.028700,0.018900,0.030000,0.030300,0.036300,0.015000,0.030000,0.030000,0.033000,0.028900,0.030000,0.024200,0.028700,0.028700,0.025000,0.022200,0.033900,0.034000,0.027700,0.038900,0.028900,0.030600,0.046500,0.030600,0.030600,0.030600,0.030800,0.027400,0.033100,0.030600,0.030600,0.024100,0.024100,0.044300,0.054900,0.033400,0.034700,0.027400,0.027400,0.027700,0.025000,0.021300,0.026200,0.039500,0.033500,0.031900,0.027400,0.027400,0.027400,0.033500,0.038100,0.032700,0.019300,0.019300,0.038200,0.029300,0.034300,0.025000,0.032400,0.031100,0.029100,0.030700,0.024600,0.012000,0.012000,0.027200,0.012000,0.012000,0.033300,0.032800,0.024900,0.029600,0.012000,0.012000,0.030000,0.030900,0.030900,0.030900,0.031500,0.038000,0.027000,0.035000,0.040000,0.028500,0.031800,0.028700,0.034000,0.027900,0.049900,0.027900,0.028700,0.028900,0.036800,0.025400,0.028900,0.027500,0.019500,0.030300,0.027100,0.019500,0.028000,0.025400,0.031900,0.019500,0.023500,0.032000,0.032000,0.032000,0.026800,0.023500,0.013100,0.025400,0.019500,0.034700,0.034200,0.027300,0.034200,0.034200,0.019500,0.034200,0.030000,0.032300,0.025000,0.019500,0.027800,0.033900,0.027900,0.030500,0.031800,0.031800,0.032500,0.032500,0.032500,0.032500,0.032500,0.032500,0.030900,0.030900,0.026200,0.031200,0.031400,0.030800,0.031500,0.030800,0.032500,0.012000,0.012000,0.033200,0.012000,0.030500,0.068700,0.032100,0.030400,0.029300,0.025300,0.031500,0.025000,0.025000,0.030000,0.018600,0.030900,0.025000,0.036300,0.031700,0.031700,0.033100,0.033100,0.028400,0.040000,0.027500,0.048800,0.030000,0.030000,0.035000,0.035000,0.030000,0.029200,0.034000,0.028000,0.030000,0.030000,0.035000,0.032700,0.026900,0.035000,0.033900,0.036000,0.027100,0.031800,0.031000,0.031600,0.031400,0.035000,0.020800,0.028700,0.035000
HT Angle,,deg,74,73,66,66,68,71.5,66,72,70.25,71,71.5,70,70,72,73,74,74,71.5,71.5,71.5,70.5,72,72,68,48.5,73,72,72,72,72,72,68,74,72,71.14561,71.14561,69,69,70.5,75,74,74,69,69,73,67.5,72.5,71,71.5,72,70.5,69,69,69,74,73,73,72.99747,72.99747,73.5,72,71.5,71,70.5,72,72,73,70.5,71,71,73,71,71,73,72.5,66,72,71,71,75,75,75,75,73,72.8,71,73,75,72,66,72,72,72.5,72.5,72.5,72,73,72,70.5,73,73,71,70.5,69.99902,71,69,70.5,71.5,71,70,70,72,69,70.5,72,71.5,72,71,73,74,73,74,74.5,71,75,74,74,66,71,64.5,71.37485,72.5,72.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,69,69,65.52239,65.5,65.5,73,63.8,73.503,73.5,71,71,74,71,75,68.5,72.5,72.47899,73.5,73.5,73.37986,73.5,73.5,64.94805,73,73,73.5,73,72,72,72,72,70.8,71,68,75,67.5,63.51092,66.20612,65.08588,64.5,73,72,67.3,64.50165,64.50165,73.5,71,71.5,74,71.37485,75,64.5,73,74.5,74.5,70,73.5,76,73,80
HT Length,,m,0.148,0.1477,0.13,0.12,0.0999,0.1,0.12,0.1061,0.1041,0.1804,0.1257,0.12,0.12,0.1526,0.145,0.1771,0.1748,0.1161,0.1161,0.1521,0.1759,0.1166,0.1166,0.1201,0.1801,0.145,0.12,0.145,0.12,0.12,0.12,0.131,0.122,0.1192,0.0983,0.0983,0.105,0.105,0.1874,0.1493,0.115,0.1535,0.133,0.133,0.2917,0.1338,0.0846,0.13,0.1379,0.1201,0.1388,0.133,0.133,0.133,0.209,0.1481,0.145,0.1849,0.1849,0.1377,0.1141,0.1753,0.1996,0.1788,0.1665,0.1581,0.156,0.151,0.145,0.145,0.1837,0.145,0.145,0.1369,0.1623,0.1101,0.1077,0.145,0.145,0.1747,0.127,0.127,0.127,0.1501,0.1863,0.1,0.138,0.1267,0.1522,0.12,0.1143,0.1121,0.1268,0.2002,0.1268,0.1203,0.145,0.1307,0.125,0.145,0.1544,0.14,0.109,0.0904,0.14,0.11,0.12,0.1722,0.14,0.135,0.15,0.1172,0.0936,0.1549,0.12,0.0891,0.12,0.14,0.1395,0.12,0.13,0.12,0.1473,0.14,0.1197,0.1247,0.2204,0.11,0.14,0.1202,0.1201,0.1268,0.2293,0.15,0.15,0.1584,0.1583,0.15,0.15,0.15,0.15,0.1616,0.149,0.11,0.12,0.12,0.15,0.12,0.1459,0.1584,0.145,0.145,0.2329,0.145,0.1462,0.2779,0.115,0.1607,0.1786,0.1211,0.1723,0.1242,0.1242,0.12,0.1101,0.155,0.1242,0.1581,0.215,0.215,0.2051,0.2051,0.1362,0.1607,0.1201,0.1201,0.1231,0.12,0.13,0.12,0.12,0.209,0.1845,0.1367,0.12,0.12,0.1804,0.1,0.1153,0.11,0.1201,0.1194,0.1019,0.1858,0.1349,0.1289,0.1102,0.1804,0.15,0.145,0.145
ST Length,,m,0.525,0.514,0.52,0.39,0.48,0.4797,0.38,0.5313,0.5465,0.5462,0.483,0.503,0.503,0.6122,0.5152,0.55,0.5343,0.52,0.52,0.5,0.3847,0.5572,0.5592,0.445,0.5,0.4952,0.5326,0.3575,0.5326,0.5326,0.5326,0.56,0.5284,0.5915,0.307,0.307,0.43,0.43,0.5155,0.725,0.51,0.57,0.561,0.561,0.708,0.52,0.48,0.485,0.5,0.55,0.54,0.561,0.561,0.561,0.667,0.518,0.5873,0.515,0.515,0.5968,0.5,0.55,0.5,0.5973,0.5697,0.556,0.55,0.555,0.485,0.485,0.511,0.485,0.485,0.548,0.582,0.45,0.5,0.485,0.485,0.56,0.2874,0.2874,0.2874,0.61,0.515,0.48,0.527,0.655,0.5908,0.48,0.6261,0.51,0.52,0.56,0.52,0.6261,0.5152,0.6505,0.4826,0.5152,0.5,0.575,0.457,0.4709,0.575,0.46,0.4826,0.55,0.575,0.42,0.46,0.53,0.419,0.555,0.48,0.12,0.56,0.575,0.52,0.5743,0.55,0.5743,0.6243,0.575,0.57,0.22,0.687,0.46,0.575,0.42,0.6018,0.52,0.6053,0.5775,0.5775,0.5649,0.5649,0.559,0.559,0.559,0.559,0.5,0.5,0.435,0.435,0.435,0.5732,0.435,0.58,0.564,0.485,0.485,0.6218,0.485,0.5423,0.58,0.5677,0.55,0.54,0.5805,0.5975,0.5532,0.5532,0.47,0.165,0.5145,0.5532,0.591,0.56,0.56,0.58,0.58,0.522,0.42,0.3,0.32,0.48,0.47,0.516,0.466,0.48,0.5988,0.635,0.46,0.48,0.48,0.6238,0.5147,0.495,0.5613,0.6018,0.24,0.45,0.6137,0.525,0.525,0.4689,0.6238,0.5795,0.52,0.521
BB Length,,m,0.068,0.068,0.073,0.068,0.073,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.079,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.073,0.068,0.068,0.068,0.068,0.068,0.068,0.09,0.07,0.068,0.068,0.068,0.073,0.073,0.073,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.068,0.068,0.068,0.073,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.073,0.068,0.068,0.068,0.068,0.073,0.073,0.068,0.068,0.073,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.068,0.073,0.068,0.073,0.17,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.073,0.073,0.068,0.073,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.07,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.073,0.068,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.068,0.068,0.073,0.073,0.073,0.068,0.068,0.073,0.068,0.17,0.17,0.073,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068
Dropout Offset,,N/A,0.135000,0.130000,0.135000,0.170000,0.141000,0.135000,0.170000,0.130000,0.135000,0.142000,0.130000,0.135000,0.135000,0.145000,0.130000,0.130000,0.130000,0.120000,0.120000,0.130000,0.130000,0.135000,0.135000,0.142000,0.142000,0.130000,0.126000,0.135000,0.126000,0.126000,0.126000,0.120000,0.135000,0.126000,0.135000,0.135000,0.142000,0.142000,0.135000,0.130000,0.120000,0.120000,0.120550,0.120550,0.142000,0.135000,0.130000,0.130000,0.130000,0.132500,0.130000,0.121300,0.121300,0.121300,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.135000,0.135000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.130000,0.142000,0.135000,0.130000,0.130000,0.120000,0.120000,0.113000,0.113000,0.120000,0.130000,0.135000,0.130000,0.130000,0.130000,0.142000,0.135000,0.130000,0.130000,0.135000,0.130000,0.135000,0.130000,0.130000,0.148000,0.130000,0.130000,0.120000,0.135000,0.130000,0.120000,0.148000,0.148000,0.130000,0.113500,0.130000,0.130000,0.135000,0.130000,0.130000,0.130000,0.142000,0.130000,0.113500,0.130000,0.135000,0.130000,0.135000,0.135000,0.113500,0.120000,0.110000,0.120000,0.135000,0.113500,0.142000,0.120000,0.130000,0.135000,0.120000,0.120000,0.120000,0.120000,0.120000,0.120000,0.120000,0.120000,0.135000,0.135000,0.142000,0.142000,0.142000,0.130000,0.142000,0.130000,0.120000,0.130000,0.126000,0.120000,0.126000,0.130000,0.120000,0.130000,0.130000,0.130000,0.130000,0.130000,0.115000,0.115000,0.135000,0.120000,0.130000,0.115000,0.135000,0.135000,0.135000,0.135000,0.135000,0.142000,0.135000,0.135000,0.135000,0.142000,0.135000,0.135000,0.135000,0.135000,0.130000,0.130000,0.148000,0.135000,0.135000,0.130000,0.130000,0.142000,0.130000,0.120000,0.120000,0.148000,0.130000,0.120000,0.120000,0.130000,0.130000,0.120000,0.130000,0.130000
SSB OD,,N/A,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.000000,0.000000,0.000000,0.016000,0.016000,0.016000,0.000000,0.000000,0.000000,0.016000,0.016000,0.016000,0.016000,0.000000,0.000000,0.016000,0.016000,0.000000,0.016000,0.016000,0.016000,0.015000,0.000000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016000,0.016000,0.016000,0.016200,0.016200,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016200,0.016200,0.016200,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.016000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.016000,0.016000,0.016000,0.016000,0.017000,0.017000,0.017000,0.010000,0.016000,0.000000,0.016000,0.016000,0.016000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.016000,0.016000,0.014000,0.000000,0.016000,0.014000,0.000000,0.000000,0.016000,0.014000,0.016000,0.016000,0.030000,0.010000,0.016000,0.016000,0.000000,0.016000,0.014000,0.016000,0.000000,0.016000,0.000000,0.000000,0.014000,0.016000,0.000000,0.016000,0.000000,0.014000,0.000000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016000,0.000000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.000000,0.016000,0.016000,0.016000,0.014000,0.014000,0.014000,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016000,0.016000,0.000000,0.000000,0.000000,0.016000,0.016000,0.000000,0.016000,0.000000,0.000000,0.000000,0.016000,0.016000,0.016000,0.016000,0.016000,0.000000,0.016000,0.016000
