Design Study 1
Scenarios/Iterations:, 200
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,m,0.367,0.415,0.415,0.417,0.425,0.409,0.42,0.415,0.3683,0.422,0.36,0.44,0.39,0.4405,0.36,0.44,0.41,0.446,0.413,0.37,0.31,0.44,0.365,0.38,0.38,0.365,0.425,0.415,0.417,0.425,0.398,0.435,0.405,0.35,0.405,0.425,0.4,0.368,0.365,0.445,0.407,0.407,0.425,0.43,0.43,0.445,0.407,0.405,0.425,0.39,0.405,0.406,0.4,0.3683,0.3683,0.419,0.418,0.4,0.395,0.4,0.406,0.435,0.406,0.406,0.406,0.3683,0.406,0.406,0.405,0.418,0.386,0.3683,0.3683,0.405,0.48018,0.41808,0.3683,0.4207,0.37547,0.43,0.406,0.406,0.4,0.385,0.405,0.425,0.48634,0.45,0.445,0.415,0.48686,0.43,0.41209,0.395,0.425,0.405,0.405,0.405,0.405,0.3568,0.405,0.3683,0.395,0.39,0.405,0.4255,0.387,0.405,0.405,0.41,0.405,0.405,0.37,0.405,0.425,0.37,0.405,0.37,0.40504,0.386,0.54,0.59,0.405,0.457,0.33,0.405,0.4255,0.425,0.4572,0.405,0.385,0.38,0.44,0.38589,0.405,0.405,0.4,0.454,0.43,0.46,0.4,0.405,0.4,0.395,0.42,0.415,0.42,0.435,0.43,0.46,0.438,0.445,0.375,0.3,0.375,0.43,0.405,0.375,0.4,0.406,0.41,0.425,0.405,0.41,0.385,0.439,0.405,0.406,0.41,0.445,0.405,0.43212,0.406,0.43,0.4,0.406,0.44,0.44,0.37,0.365,0.365,0.406,0.355,0.39,0.42472,0.4,0.40859,0.405,0.425,0.405,0.405,0.405,0.425,0.37,0.37,0.38,0.41,0.393,0.39,0.415,0.405
BB Drop,,m,0.04,0.07,0,0,-0.005,-0.01,0,0.07,-0.014,0.06,-0.025,0.03982,0.0325,0.06,0.03,0.069,0.07,0.067,0.07,0.01,-0.01,0.075,0.03,0.05,0.07,-0.005,0.055,0.07,0.055,0.03,0.07,0.045,0.07,-0.0145,0.07,0.045,0.045,-0.02,0.03,0.065,0.07,0.07,0.045,0.015,0.065,0.06,0.072,0.07,0.07,0.002,0.065,0,0.055,-0.027,-0.007,0.035,0.068,0.055,0.057,0.057,0.072,0.06,0.072,0.072,0.072,-0.027,0.072,0.072,0.01,0.066,0.024,-0.027,-0.027,0.055,0.0762,0.07,-0.007,0.07,0.07,0.07,0.072,0.072,0.067,0.07,0.01,0.068,0.0762,0.08,0.075,0.055,0.0762,0.065,0.07,0.055,0.066,0.078,0.078,0.078,0.07,0,0.07,-0.027,0.045,0.057,0.07,0.05,0.04346,0.07,0.07,0.07,0.07,0.07,0.011,0.07,0.06,0.011,0.05,0.011,0.07,0.04,0.05,0.127,0.07,0.045,-0.05,0.07,0.05,0.07,0.075,0.069,0.04,-0.03,0.065,0,0.07,0.07,0.07,0.07,0.045,0.055,0.08,0.06973,0.08,0.055,0.07,0.045,0.067,0.07,0,0.061,0.075,0.07,-0.007,0.013,0.05,0.065,0.078,0.04,0.02,0.07,0.07,0.075,0.067,0.072,0.037,0.053,0.07,0.07,0.07,0.12,0.07,0.027,0.063,0.0375,0.061,0.068,0.06,0.06,-0.011,0.035,0.035,0.068,-0.0445,0.057,0.015,0.03,0.02,0.02,0.07,0.02,0.02,0.02,0.07,0.049,0.049,0.06,0.07,0.01,0.057,0.075,0.02
Stack,,m,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656,0.5656
SS E,,m,0.045,0.045,0.035,0.035,0.035,0.045,0.045,0.045,0.037,0.045,0.045,0.045,0.045,0.045,0.15,0.045,0.21,0.057,0.21,0.04,0.029,0.035,0.18,0.18,0.18,0.037,0.16,0.045,0.053,0.054,0.03,0.045,0.045,0.045,0.045,0.045,0.045,0.055,0.18,0.045,0.04,0.04,0.03,0.03,0.025,0.045,0.025,0.045,0.03,0.037,0.015,0.045,0.045,0.037,0.037,0.057,0.03,0.03,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.037,0.045,0.045,0.045,0.02,0.065,0.037,0.037,0.037,0.054,0.11,0.037,0.04,0.05,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.054,0.045,0.045,0.045,0.045,0.025,0.232,0.045,0.045,0.04,0.04,0.04,0.045,0.045,0.045,0.037,0.045,0.045,0.045,0.045,0.2,0.045,0.095,0.045,0.045,0.045,0.065,0.045,0.15,0.065,0.045,0.065,0.065,0.08,0.068,0.057,0.063,0.06,0.058,0.045,0.045,0.03,0.045,0.045,0.08,0.045,0.045,0.1,0.045,0.23,0.045,0.045,0.05,0.045,0.025,0.045,0.025,0.045,0.045,0.045,0.04,0.06,0.045,0.04,0.06,0.045,0.05,0.045,0.045,0.02,0.04,0.045,0.295,0.045,0.045,0.045,0.045,0.045,0.06,0.3,0.045,0.045,0.045,0.037,0.025,0.045,0.045,0.035,0.045,0.045,0.045,0.045,0.037,0.045,0.045,0.045,0.045,0.06,0.05,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.15,0.025,0.06,0.06,0.045,0.045
ST Angle,,deg,72.99998,73.5,75,72.5,73,72,74,73.5,77,73,68.1,74.02165,71,72,74,74,72,73,72,75,73.5,75.5,74,83,80,74,73,73.5,72,73.5,73.5,72.5,74,70,74,72.5,72.5,74,75,73.5,72.5,72.5,73,72,73,72.5,72.5,74,74,72,72.5,74.5,74,77,77,72,73.5,74,75,74,73.5,73,73.5,73.5,73.5,77,73.5,73.5,72,73.5,74,77,77,73.5,69,76,77,72,72,74,73.5,73.5,74,74,72,73.5,70,73,73,74,70,73.5,73.5,74,72,74,74,74,73,72,74,77,74,74,74,74,73.51515,74,76,76.5,75,76.5,73,75,69.5,73,73.5,73,74,73,67,72,75,72,68,74,73,74,72.5,73,79,78,73,72,74,74,74,73,73,70,75,72.96151,75,73,72.5,75.5,72,72,75,73,72,73,74,72.5,74.5,73,74,74,72,74,73.5,73.5,73.3,73,75,73,74,74,73.5,80,73,74,73,76.5,78,74.5,74,74.5,77.5,74,74,74.5,68,75,69,72.5,58.1,71.5,74,74,70.5,70,74,74,74,74,73,70.5,75,74.5,79.5
BB OD,,m,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0508,0.04,0.0381,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.075,0.075,0.041,0.041,0.0381,0.038,0.04,0.04,0.034,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.041,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.045,0.04,0.04,0.0381,0.0381,0.0381,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.056,0.056,0.04,0.04,0.056,0.04,0.04,0.034,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.03,0.04,0.04,0.04,0.04,0.0381,0.04,0.0381,0.04,0.04,0.04,0.04,0.04,0.04,0.0381,0.04,0.068,0.047,0.04,0.04,0.0381,0.0381,0.04,0.046,0.04,0.04,0.04,0.055,0.055,0.04,0.045,0.04,0.04,0.04,0.045,0.04,0.04,0.04,0.055,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
TT OD,,m,0.0286,0.0336,0.0286,0.0286,0.0286,0.0286,0.0286,0.0336,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0275,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0315,0.0336,0.0286,0.0286,0.0254,0.0254,0.0286,0.0292,0.0286,0.0254,0.0254,0.0286,0.0286,0.0286,0.0286,0.0286,0.0312,0.0312,0.0254,0.0272,0.0282,0.0286,0.02545,0.0286,0.0286,0.0327,0.0286,0.0286,0.0286,0.03175,0.027,0.0287,0.0237,0.0237,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.027,0.0281,0.0286,0.0286,0.0286,0.0286,0.035,0.0286,0.0311,0.0307,0.0252,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.027,0.027,0.0286,0.0275,0.027,0.0475,0.0286,0.0286,0.0254,0.0254,0.0254,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0331,0.13,0.0286,0.0286,0.0286,0.0286,0.0286,0.03015,0.03015,0.03175,0.027,0.03175,0.0327,0.0286,0.02545,0.027,0.0286,0.0286,0.0286,0.0127,0.05,0.0286,0.07,0.0286,0.0286,0.035,0.0286,0.0254,0.0286,0.0254,0.0286,0.0286,0.0327,0.0286,0.0369,0.0286,0.0254,0.0369,0.0286,0.0302,0.0286,0.0286,0.027,0.0254,0.0286,0.0312,0.0286,0.0286,0.0286,0.03745,0.03745,0.0286,0.0307,0.0336,0.0286,0.0286,0.033,0.0286,0.0286,0.03,0.027,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0352,0.0286,0.05,0.0302,0.0302,0.0485,0.0286,0.0375,0.0286,0.04,0.0286,0.0286,0.0286,0.0286,0.027,0.0446,0.0286,0.0286,0.05
HT OD,,m,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.047,0.047,0.045,0.045,0.045,0.045,0.045,0.037,0.045,0.0365,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.043,0.045,0.045,0.036,0.04,0.0317,0.0318,0.045,0.045,0.045,0.0318,0.0318,0.045,0.045,0.045,0.05,0.05,0.045,0.045,0.038,0.037,0.036,0.045,0.032,0.047,0.045,0.045,0.045,0.047,0.047,0.045,0.0318,0.05,0.03,0.03,0.045,0.045,0.045,0.045,0.045,0.047,0.045,0.045,0.045,0.0318,0.045,0.047,0.047,0.045,0.0381,0.06,0.047,0.052,0.045,0.03,0.045,0.045,0.045,0.045,0.045,0.045,0.0381,0.034,0.034,0.045,0.0381,0.0318,0.045,0.045,0.045,0.0317,0.0317,0.0317,0.0318,0.045,0.045,0.047,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.046,0.045,0.045,0.045,0.045,0.045,0.037,0.037,0.0381,0.033,0.0381,0.05,0.045,0.032,0.0286,0.045,0.045,0.045,0.045,0.05,0.045,0.045,0.045,0.036,0.045,0.045,0.0317,0.045,0.0317,0.045,0.045,0.04,0.048,0.05,0.045,0.0317,0.05,0.045,0.05,0.0318,0.045,0.0317,0.0317,0.045,0.046,0.045,0.045,0.045,0.056,0.056,0.045,0.054,0.045,0.045,0.045,0.035,0.036,0.045,0.045,0.042,0.045,0.045,0.045,0.045,0.047,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.036,0.05,0.045,0.035,0.045
DT OD,,m,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0315,0.0365,0.0365,0.0365,0.034,0.03335,0.0365,0.0365,0.0365,0.03335,0.03335,0.0415,0.0365,0.0365,0.04,0.04,0.0365,0.0365,0.034,0.0365,0.01905,0.0365,0.0365,0.0365,0.0365,0.055,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.025,0.025,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0349,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.042,0.0365,0.0365,0.0365,0.0349,0.0365,0.0365,0.0365,0.0349,0.0365,0.0475,0.0365,0.0365,0.034,0.034,0.034,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.13325,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0508,0.0365,0.0365,0.05,0.0365,0.0365,0.03305,0.0365,0.0365,0.0365,0.0365,0.05,0.0365,0.0365,0.0365,0.0365,0.04,0.0365,0.034,0.0365,0.034,0.0365,0.0365,0.035,0.0365,0.0429,0.0365,0.034,0.0429,0.0365,0.0365,0.0365,0.0365,0.034,0.034,0.0365,0.0365,0.0365,0.0365,0.0365,0.04155,0.04155,0.0365,0.0365,0.0365,0.0365,0.0365,0.0345,0.0317,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.045,0.0365,0.054,0.0365,0.05,0.052,0.0365,0.046,0.0365,0.045,0.0365,0.0365,0.0365,0.0365,0.0365,0.0505,0.0365,0.0365,0.05
