Design Study 1
Scenarios/Iterations:, 5
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5
,,,,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.350000,0.420000,0.420000,0.439000,0.380000,0.440000
BB Drop,,N/A,-0.014500,0.074000,0.065000,0.054000,0.070000,0.060000
Stack,,m,0.5656,0.5656,0.5656,0.5721,0.5656,0.5656
SS E,,N/A,0.045000,0.040000,0.045000,0.045000,0.045000,0.050000
ST Angle,,N/A,1.247910,1.291544,1.265364,1.291544,1.291544,1.291544
BB OD,,m,0.04,0.0381,0.04,0.04,0.04,0.04
TT OD,,m,0.0292,0.0254,0.0361,0.0286,0.03225,0.0286
HT OD,,m,0.045,0.0317,0.05,0.0413,0.05,0.05
DT OD,,m,0.0365,0.034,0.043,0.0365,0.0365,0.0365
CS OD,,N/A,0.022000,0.017350,0.028850,0.017500,0.023350,0.021350
SS OD,,N/A,0.018500,0.010500,0.013000,0.011500,0.013000,0.015000
ST OD,,N/A,0.031800,0.028600,0.031800,0.031000,0.031800,0.032700
CS F,,m,0.015,0.015,0.015,0.015,0.015,0.015
HT LX,,N/A,0.023100,0.044000,0.056600,0.049500,0.043600,0.031000
ST UX,,N/A,0.039100,0.044000,0.044600,0.040900,0.028700,0.051000
HT UX,,N/A,0.023300,0.030000,0.035100,0.033800,0.030000,0.024100
HT Angle,,deg,71.5,74,72,70,74,69
HT Length,,m,0.08,0.14,0.125,0.1152,0.15,0.105
ST Length,,N/A,0.265000,0.540000,0.460600,0.460000,0.508700,0.430000
BB Length,,m,0.068,0.068,0.068,0.068,0.068,0.073
Dropout Offset,,N/A,0.135000,0.130000,0.130000,0.135000,0.130000,0.142000
SSB OD,,N/A,0.000000,0.000000,0.000000,0.016000,0.000000,0.000000
CSB OD,,N/A,0.000000,0.000000,0.000000,0.018000,0.000000,0.000000
Material,,N/A,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials
SSB Offset,,N/A,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000
CSB Offset,,N/A,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000
SS Z,,N/A,0.008000,0.010600,0.009000,0.009000,0.009000,0.009000
SS Thickness,,N/A,0.001376,0.000993,0.001000,0.006897,0.008256,0.003117
CS Thickness,,N/A,0.002001,0.004948,0.001200,0.001356,0.007112,0.005711
TT Thickness,,N/A,0.002650,0.001190,0.000900,0.000879,0.003000,0.000529
BB Thickness,,m,0.008148,0.00109,0.002,0.00272,0.003555,0.00084534
HT Thickness,,m,0.005872,0.001166,0.0011,0.001785,0.005932,0.001136
ST Thickness,,m,0.001621,0.009363,0.0009,0.001158,0.001208,0.003618
DT Thickness,,m,0.002619,0.0007564,0.0009,0.008974,0.004532,0.00054987
Dropout X Displacement,Monitor Only,m,-0.00711,0.042,0.01714,0.01952,0.01535,0.0475
Dropout Y Displacement,Monitor Only,m,0.009947,-0.08107,-0.03008,-0.03362,-0.02837,-0.08335
BB X Displacement,Monitor Only,m,-0.00695,0.05103,0.02023,0.02274,0.01828,0.05553
BB Y Displacement,Monitor Only,m,0.00533,-0.04152,-0.01428,-0.01497,-0.01565,-0.03994
BB Z Displacement,Monitor Only,m,0.001256,0.002892,0.001077,0.002228,0.001028,0.001924
BBR Y Displacement,Monitor Only,m,-0.00618,-0.01495,-0.00554,-0.00514,-0.00592,-0.01375
BBL Y Displacement,Monitor Only,m,0.00881,0.01771,0.006376,0.007368,0.006686,0.01851
Min FS 1,Monitor Only,,0.623871,0.037383,0.320792,0.572337,0.715869,0.145806
Max Stress 1,Monitor Only, N/m^2,1.3262e+09,1.2305e+10,1.434e+09,1.4456e+09,1.1558e+09,3.1549e+09
Min FS 3,Monitor Only,,0.942292,0.106393,0.851478,2.010918,1.835635,0.362631
Max Stress 3,Monitor Only, N/m^2,8.7804e+08,4.3236e+09,5.4024e+08,4.1144e+08,4.5073e+08,1.2685e+09
Mass,Monitor Only, kg,2.5241,2.8028,2.8458,3.5263,4.415,3.7911
