Design Study 1
Scenarios/Iterations:, 5
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5
,,,,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.431790,0.420000,0.420000,0.439000,0.380000,0.440000
BB Drop,,N/A,0.024000,0.074000,0.065000,0.054000,0.070000,0.060000
Stack,,m,0.5656,0.5656,0.5656,0.5721,0.5656,0.5656
SS E,,N/A,0.041000,0.040000,0.045000,0.045000,0.045000,0.050000
ST Angle,,N/A,0.000000,1.291544,1.265364,1.291544,1.291544,1.291544
BB OD,,m,0.04,0.0381,0.04,0.04,0.04,0.04
TT OD,,m,0.0292,0.0254,0.0361,0.0286,0.03225,0.0286
HT OD,,m,0.045,0.0317,0.05,0.0413,0.05,0.05
DT OD,,m,0.0365,0.034,0.043,0.0365,0.0365,0.0365
CS OD,,N/A,0.022000,0.017350,0.028850,0.017500,0.023350,0.021350
SS OD,,N/A,0.018500,0.010500,0.013000,0.011500,0.013000,0.015000
ST OD,,N/A,0.031800,0.028600,0.031800,0.031000,0.031800,0.032700
CS F,,m,0.015,0.015,0.015,0.015,0.015,0.015
HT LX,,N/A,0.023100,0.044000,0.056600,0.049500,0.043600,0.031000
ST UX,,N/A,0.039100,0.044000,0.044600,0.040900,0.028700,0.051000
HT UX,,N/A,0.023300,0.030000,0.035100,0.033800,0.030000,0.024100
HT Angle,,deg,71.5,74,72,70,74,69
HT Length,,m,0.08,0.14,0.125,0.1152,0.15,0.105
ST Length,,N/A,0.265000,0.540000,0.460600,0.460000,0.508700,0.430000
BB Length,,m,0.068,0.068,0.068,0.068,0.068,0.073
Dropout Offset,,N/A,0.135000,0.130000,0.130000,0.135000,0.130000,0.142000
SSB OD,,N/A,0.000000,0.000000,0.000000,0.016000,0.000000,0.000000
CSB OD,,N/A,0.000000,0.000000,0.000000,0.018000,0.000000,0.000000
Material,,N/A,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials
SSB Offset,,N/A,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000
CSB Offset,,N/A,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000
SS Z,,N/A,0.008000,0.010600,0.009000,0.009000,0.009000,0.009000
SS Thickness,,N/A,0.001376,0.000993,0.001000,0.006897,0.008256,0.003117
CS Thickness,,N/A,0.002001,0.004948,0.001200,0.001356,0.007112,0.005711
TT Thickness,,N/A,0.002650,0.001190,0.000900,0.000879,0.003000,0.000529
BB Thickness,,m,0.008148,0.00109,0.002,0.00272,0.003555,0.00084534
HT Thickness,,m,0.005872,0.001166,0.0011,0.001785,0.005932,0.001136
ST Thickness,,m,0.001621,0.009363,0.0009,0.001158,0.001208,0.003618
DT Thickness,,m,0.002619,0.0007564,0.0009,0.008974,0.004532,0.00054987
Dropout X Displacement,Monitor Only, m,-6.914e-03,3.750e-02,1.634e-02,1.904e-02,1.500e-02,3.770e-02
Dropout Y Displacement,Monitor Only, m,9.678e-03,-7.205e-02,-2.864e-02,-3.262e-02,-2.769e-02,-6.583e-02
BB X Displacement,Monitor Only, m,-6.767e-03,4.533e-02,1.926e-02,2.215e-02,1.787e-02,4.384e-02
BB Y Displacement,Monitor Only, m,5.186e-03,-3.692e-02,-1.359e-02,-1.458e-02,-1.529e-02,-3.163e-02
BB Z Displacement,Monitor Only, m,1.241e-03,2.566e-03,1.049e-03,2.190e-03,1.015e-03,1.716e-03
BBR Y Displacement,Monitor Only, m,-6.029e-03,-1.328e-02,-5.275e-03,-5.056e-03,-5.799e-03,-1.093e-02
BBL Y Displacement,Monitor Only, m,8.543e-03,1.569e-02,6.069e-03,7.254e-03,6.530e-03,1.462e-02
Min FS 1,Monitor Only,,2.145e+00,1.872e-01,3.625e-01,1.161e+00,1.355e+00,1.815e-01
Max Stress 1,Monitor Only, N/m^2,3.858e+08,2.457e+09,1.269e+09,7.129e+08,6.107e+08,2.535e+09
Min FS 3,Monitor Only,,2.704e+00,5.426e-01,1.104e+00,3.537e+00,3.709e+00,5.514e-01
Max Stress 3,Monitor Only, N/m^2,3.060e+08,8.478e+08,4.167e+08,2.339e+08,2.231e+08,8.342e+08
Mass,Monitor Only, kg,2.52,2.8,2.85,3.53,4.42,3.79
