,CS Length,BB Drop,Stack,SS E,ST Angle,CS F,HT LX,ST UX,HT UX,HT Angle,DT OD,DT Thickness,ST OD,ST Thickness,HT OD,HT Thickness,SS OD,SS Thickness,CS OD,CS Thickness,BB OD,BB Thickness,TT OD,TT Thickness,HT Length,ST Length,BB Length,Dropout Offset,SSB OD,CSB OD,SSB Offset,CSB Offset,SS Z,DT Length,Material
2,0.4738249343895149,0.07550295746155863,0.5841218868019092,0.04021617886087851,73.11950629602312,0.014863807253503876,0.04959638324719744,0.04730749787290159,0.029799268723818113,70.4298206935533,0.039140773540993594,0.00519406417853812,0.03227181198458621,0.0008172633732567366,0.044604745694826205,0.0020389703522465594,0.017016040792454078,0.0037336410999255065,0.023316116765310254,0.0023367308160608443,0.03412835228030964,0.0028576322135117,0.03264477051690618,0.008798274237890475,0.15066139030176473,0.5098390067522978,0.0731800154770974,0.14659094846262558,0.003783848260476147,0.003726247596445581,0.3305580916336519,0.34757849320995665,0.008862813225863572,0.7096662489903948,Titanium
4,0.4028086061857161,0.0685725360152177,0.5770021118736993,0.0565545834062147,73.2183153340633,0.015414011338102595,0.04491651173831662,0.052035192429602646,0.029262859600889257,71.26836740976881,0.04473004377752925,0.003691721221093406,0.031603822445889725,0.0020120996730969894,0.048767739296599014,0.003686797914476455,0.013052262519736724,0.003846294328153879,0.02478243562695134,0.0021833537936225625,0.03291035775231383,0.00663891154189762,0.026643063235416837,0.005970613841264283,0.133988087899313,0.5007388576133819,0.07175933664563798,0.12978905912398328,0.002353636487219179,0.0006361822901590607,0.3301583593604153,0.3514297125007722,0.009087956133235521,0.6428769745271448,Titanium
5,0.41123016440262283,0.050077269621310504,0.5650922746045991,0.04224755788242162,76.62234779785169,0.014924466514528171,0.06815861781571167,0.03998058267788411,0.04517016889919398,76.84482198505879,0.03230842301289976,0.0062492798719269264,0.02411480449975765,0.0013981865937688649,0.04226633801221509,0.002871994116821451,0.017071719856824447,0.0017685424750147373,0.01939748670705614,0.0021445258441729984,0.03660879087025243,0.002950523692402897,0.021724365950411533,0.0032499476348018556,0.20751024608873375,0.5751894791616741,0.06721051677716533,0.12973604937652386,0.0015668752397906879,0.0012851934468474172,0.33061079359162193,0.3519357614392169,0.008640070177527541,0.6552090894001689,Titanium
6,0.5031478595933219,0.04742828076468704,0.5770480372316664,0.03968560981325844,73.03339231772887,0.01496012542466055,0.045054698844722435,0.041305023334646244,0.025564832596153747,69.45482111488741,0.03868647773201167,0.00816713961096233,0.0663880996820011,7.069114792313674e-05,0.05046960128561909,0.0007541087829978192,0.0171656603096019,0.004830418629803771,0.024132371209075614,0.0023956595304634766,0.03592212856195506,0.0029502546400118936,0.037034556976119064,0.010219306690375072,0.11974682843219417,0.4462195909842838,0.0734178717319684,0.14588164649825652,0.003970122211797705,0.004272278049303789,0.3301581159144006,0.3221359559412434,0.008801353575724856,0.6746736436372979,Titanium
11,0.4060326542841711,0.05224922554433818,0.5698091687534301,0.05413528071835339,74.97134601321024,0.015115979437635764,0.05693270974103009,0.04650023065246298,0.036641514756877464,75.53649626187457,0.034372755574136146,0.006244478185505081,0.02759429712109759,0.0019600012263171294,0.04268257304685466,0.0035031148363803485,0.014703290533894759,0.0021065308784325746,0.022051725263930066,0.002140170664412005,0.0361677591901916,0.003520116230936121,0.024259505493012274,0.0031444116522022034,0.1884482536739218,0.5812001355585006,0.06798944152554427,0.12936129681264813,0.0026962414059826223,0.001468317933147439,0.33034090821277734,0.3476078778840246,0.008911125124892593,0.6459094733987468,Titanium
13,0.41573144250957894,0.05762899154548779,0.5754724718981142,0.04097635323484439,74.51549586599428,0.014974538787557957,0.062154474495283815,0.04473372644694944,0.03447451215595656,72.40481757962961,0.034784653426437516,0.004256835005692128,0.024819732821381432,0.0008475709316973015,0.04347129534913921,0.0027368491781438603,0.015154603012970206,0.003341767516625094,0.02080678422625721,0.0023470333086065085,0.03491872932694438,0.0022769456584096712,0.02506925327301764,0.006688436342257225,0.18420348577540724,0.5530743181352701,0.06823979603263779,0.13845895691762858,0.002850799385847759,0.0029107085623223212,0.33074928316261654,0.3512758136282295,0.008738614318058112,0.6858999398930422,Titanium
14,0.41111090837096975,0.04913402800287873,0.5613499485299778,0.05245585530642769,72.8940501655017,0.014857302603443269,0.06318787480892743,0.04330657661247193,0.05417090901326257,75.47885904310246,0.038227733213127016,0.0025196127323858612,0.03194857711806798,0.004663396476634326,0.041814819230137884,0.004656723342821568,0.015505493001367474,0.00197357804391841,0.024845867509596838,0.0021342760402235546,0.03730735049319494,0.0018477768647221782,0.030535513891531686,0.0025556179509276904,0.14319037391421538,0.5179674900228367,0.06863856464167946,0.1270294221960841,0.00024340813355047761,-3.8037336978595515e-07,0.32915534570409455,0.331730167417037,0.008409978790828231,0.646726148252233,Titanium
15,0.41341738009127943,0.059582022135882984,0.5640422980376462,0.04728922619873244,73.03041597943007,0.014884993536596768,0.05411474858906676,0.043464570222437174,0.0427958867034835,73.49998680500427,0.04297626733255628,0.003066144571512417,0.03083389445045126,0.0029080997000786313,0.044734507855231434,0.002167975721239262,0.01515943205483592,0.0020467461438906974,0.023552627863303345,0.0023937355098298425,0.03626299853590134,0.0028992822807630443,0.028846428530314022,0.005331124885470103,0.15424669911652253,0.5361620703924148,0.06857710289988207,0.1293952920707655,0.0016182960931124327,0.0020224054425795153,0.32982792840303565,0.3220466784179401,0.008749151597799336,0.6481322087529007,Titanium
16,0.40811948046740953,0.06485102944450115,0.5702762116122249,0.05384692043288428,75.72832772924184,0.015100641387841928,0.05249723683845237,0.04184349229001634,0.031317761718542565,74.7405453528163,0.03194463050394678,0.007456448090987739,0.0285542119558836,0.0018116933823292929,0.04237753683395484,0.002502452548402565,0.014434567869508703,0.0020775661717853614,0.02175469311421134,0.0022097668376638707,0.03488050550730591,0.004671265531719185,0.02226623668156623,0.003271897506930573,0.1590676647869617,0.5529794310471872,0.06796239451758311,0.12949961756837558,0.0030019621436620427,0.0017440665677799791,0.3303615350128363,0.3475475872827487,0.008941067295429999,0.6452407145176877,Titanium
17,0.41336861828961036,0.05584297905144259,0.564181438197695,0.052581572680161615,72.92113313276187,0.014968452691728395,0.05910556226631512,0.0475151217773623,0.04675636022489484,73.03634906391706,0.04847028279586328,0.0022124116718781096,0.03496895293175801,0.003485173461455158,0.047149163751597126,0.0025666760732813362,0.015810290475451554,0.002189696309087665,0.024770771167141603,0.0023399854708171797,0.03595635975370668,0.0029182328513761447,0.0342599092953501,0.005254497886470342,0.16492781113475546,0.5463056192999991,0.06896577555494117,0.12913060595918177,0.0017320875313231255,0.001669809906794096,0.3296987088442359,0.32846970674713843,0.00873763318491451,0.6474327984037553,Titanium
