,Material,CS Length,BB Drop,Stack,SS E,ST Angle,BB OD,TT OD,HT OD,DT OD,CS OD,SS OD,ST OD,CS F,HT LX,ST UX,HT UX,HT Angle,HT Length,ST Length,BB Length,Dropout Offset,SSB OD,CSB OD,SSB Offset,CSB Offset,SS Z,SS Thickness,CS Thickness,TT Thickness,BB Thickness,HT Thickness,ST Thickness,DT Thickness,DT Length
0,Steel,0.4341260228219739,0.05580941416381442,0.5656949802103356,0.14805096465026527,73.23388111109638,0.04196123980224788,0.02861612015169014,0.03065959496565661,0.03187510931098332,0.027474580499973367,0.011130562839367433,0.02862336033873284,0.015009594558036616,0.036926016292354695,0.038461473642836794,0.04188766615988738,76.84638547204003,0.16665932414004006,0.5943070345596655,0.06794876247306096,0.12016263755852669,0.015862866387084396,0.018043523706100913,0.32994984120049325,0.35012295085624356,0.0090119427126423,0.007826853695310436,0.00912236641087721,0.0032061204115587964,0.0009102682772859911,0.0019171399684859425,0.0006899584992002281,0.0029419010068161148,0.6605601858877216
1,Aluminum,0.3917739553244335,0.045616916561151404,0.565687702386945,0.03497292232047049,73.75468640906978,0.03999242665146978,0.02684017000763643,0.029398984091669897,0.03240581596045977,0.021504814613553032,0.01844785006788986,0.028466507275871904,0.01502048186853906,0.0342744129680153,0.028369422825327624,0.029868103251544768,74.66783588806115,0.11117036284549484,0.33378986090507606,0.06805286961705612,0.1300288981981692,-2.761576743280387e-05,7.080364329432182e-05,0.3300145218644944,0.30038105309906965,0.007169542839010429,0.0007602037117549936,0.0027092699547397584,0.0008138510006203041,0.001234583203560089,0.001524664768743456,0.0008644191892583633,0.00464948543666179,0.6252118110927454
2,Aluminum,0.4436858232046038,0.04799716375351036,0.5878459612760076,0.045349341867684065,71.97519644314958,0.03999464460416182,0.02967072878599319,0.04030250021428634,0.05135508907972341,0.02595895411038852,0.019059316800843003,0.03493593982365132,0.01500508602854064,0.068010742256275,0.04108705530863829,0.038112549905163856,75.22762867359066,0.11897971802144075,0.6275255651961802,0.09533595947532963,0.12022944576503247,7.41962834821825e-05,1.284858673212489e-05,0.3626258857590091,0.35035471977855237,0.009007715418515198,0.004807881579890452,0.009612430914111235,0.0008971447614922459,0.004614854395798551,0.0020665229541168657,0.0015865747772811263,0.001325031377740231,0.6911351901715279
3,Steel,0.406385688222726,0.06843431335571447,0.5792920341252668,0.044610199043553386,72.81838983674886,0.04001815121838737,0.02864918265577116,0.04500552810779786,0.036522744225858834,0.02333433808792595,0.013014692702180024,0.03182986253064732,0.015008997459800163,0.049201234384709934,0.03685710922266127,0.036001030319297675,73.07639272322501,0.1776846145026658,0.5286992942947657,0.06799559012429998,0.12998058466290305,0.016028900317462222,0.018184989981567815,0.3299876539472133,0.3501853672404582,0.008986359528504352,0.004900007268529613,0.00851607091337558,0.005824510708089965,0.007513126358373616,0.0023999593609505916,0.0007070061634057278,0.008126016525743773,0.681567874999875
4,Steel,0.5966149268922076,0.06892234488742886,0.5651794017760612,0.04568117512731626,72.23883296569232,0.0399960756404401,0.028618517731188047,0.044954841452420076,0.0364417322687884,0.023437914083189012,0.012972476672820806,0.031825700083222344,0.015000370622860325,0.059329343931687886,0.033154462243976196,0.02417662266088885,66.24512042678097,0.10583221517031771,0.4693089434395,0.06802311865863764,0.12998036556758003,0.015730983954611408,0.018002066666103836,0.32999561806391103,0.35033269651738336,0.009007490791011425,0.002392764870984795,0.001104515515483954,0.0009067878503387574,0.009113848098611458,0.0005426910483766496,0.002844567197793578,0.003801331674735257,0.659349890831874
5,Aluminum,0.434511811509645,-0.005638377085074711,0.5655621549851286,0.036756387245783916,73.56857717982457,0.03995060170309071,0.03614799325775252,0.0514727512596357,0.049916537091367216,0.027569948865998735,0.021973376895691996,0.03866949012241974,0.014994808192918842,0.07824319298005264,0.04033408490248176,0.028244864646446176,70.01306212966004,0.11381201671739219,0.4530829387893146,0.09142941969455488,0.13500633288691624,8.105476343626267e-05,-0.00015510904203309799,0.3299718797384021,0.34982130021884345,0.007987248000691182,0.0040975436786273535,0.002198484211428028,0.004393281019853839,0.005396702257891877,0.0021757524920663325,0.0030944683872776097,0.002442855670874645,0.6438219329756303
6,Aluminum,0.41815104735995745,0.06862696171851132,0.5655438516343736,0.04447750149271566,72.62480678191399,0.07438791898611413,0.026247345790179795,0.03602445846767529,0.036468144861442515,0.02342293171738323,0.013028431353052572,0.027953350584653494,0.015013516555893417,0.04924321828395241,0.02140567943830705,0.027347607456399078,72.99434403539888,0.11781989235411858,0.5669067906529439,0.06802470865671152,0.13494318123513044,0.01589549680797441,3.349740256115754e-05,0.37783543331659414,0.35011971410754417,0.008990213733350445,0.0016740833925387064,0.005649695855935195,0.0006292348633523993,0.0020597591083059722,0.0010922095899097437,0.007539096729457707,0.0009194635429696776,0.6618438248749892
7,Steel,0.43767308286795187,0.06979374297220933,0.5655279268482288,0.172180997397614,73.31616510449429,0.04001990226028809,0.03154250453558074,0.03506750682880438,0.036536226670788846,0.023408953971202028,0.012961251350360307,0.02872597386148829,0.015006643813452326,0.06182777617859322,0.19546790670879535,0.025418522433374044,71.65560091242459,0.08214250068474965,0.47013588977185095,0.06802558454207841,0.13496883207666185,0.015871715680767798,0.01802988453964962,0.32994511467506865,0.3500410300561001,0.009012358444000137,0.0038700013541700645,0.00331574194003722,0.002460222938034264,0.0063708518561922155,0.000655124146933036,0.00212889164295802,0.0009903501192267137,0.63303058103551
8,Steel,0.40657561853690627,0.06281525534486594,0.527541184306655,0.04434571340536812,74.91988271487752,0.04001258694925669,0.028616896394381988,0.04499673424522327,0.0365234817440842,0.02346517831741239,0.013018464857720593,0.03182442514895087,0.014995499873901363,0.055914191831682794,0.05480896603842899,0.0415076940005674,74.3988399672136,0.1333715838123964,0.5574340637490889,0.06801705286784447,0.1198094827903649,0.016069785278407488,0.018000885669213033,0.32994302974450923,0.35014217509052675,0.009006673895786774,0.0024645282914309654,0.003041868336039627,0.000781674046961387,0.008148145556545347,0.0006562377180687174,0.003073670446849016,0.006133007296182812,0.6419359951369218
9,Steel,0.40530456553083455,0.05566816859952386,0.5650912371885654,0.08425813567623433,74.1742881741217,0.04007260333181687,0.026080909910236986,0.030927768103585027,0.029127931591053403,0.01791058290304107,0.01429684210730624,0.0287693284248986,0.01500134314754915,0.041837684286498505,0.013961069009120211,0.024733153734546588,72.5528338061323,0.10142522846220714,0.5115258057334254,0.06800873349343739,0.13004917999874538,0.0156709088637507,0.018118078920092852,0.3299672374838643,0.35010272690130373,0.009004475901696495,0.006358286988114966,0.003346681664948022,0.0033295546540526547,0.005885115649793408,0.002039769994267708,0.007520767636377287,0.0017004581469925622,0.4433189808359665
